narod,narod-cesky,Белгородская область,Брянская область,Владимирская область,Воронежская область,Ивановская область,Калужская область,Костромская область,Курская область,Липецкая область,Московская область,Орловская область,Рязанская область,Смоленская область,Тамбовская область,Тверская область,Тульская область,Ярославская область,г. Москва,Республика Карелия,Республика Коми,Архангельская область,Ненецкий автономный округ,Вологодская область,Калининградская область,Ленинградская область,Мурманская область,Новгородская область,Псковская область,г. Санкт-Петербург,Республика Адыгея,Республика Калмыкия,Краснодарский край,Астраханская область,Волгоградская область,Ростовская область,Республика Дагестан,Республика Ингушетия,Кабардино-Балкарская Республика,Карачаево-Черкесская Республика,Республика Северная Осетия – Алания,Чеченская Республика,Ставропольский край,Республика Башкортостан,Республика Марий Эл,Республика Мордовия,Республика Татарстан,Удмуртская Республика,Чувашская Республика,Пермский край,Кировская область,Нижегородская область,Оренбургская область,Пензенская область,Самарская область,Саратовская область,Ульяновская область,Курганская область,Свердловская область,Тюменская область,Ханты-Мансийский автономный округ – Югра,Ямало-Ненецкий автономный округ,Челябинская область,Республика Алтай,Республика Бурятия,Республика Тыва,Республика Хакасия,Алтайский край,Забайкальский край,Красноярский край,Иркутская область,Кемеровская область,Новосибирская область,Омская область,Томская область,Республика Саха (Якутия),Камчатский край,Приморский край,Хабаровский край,Амурская область,Магаданская область,Сахалинская область,Еврейская автономная область,Чукотский автономный округ
Литовцы,Litevci,135,95,145,171,114,180,79,112,102,962,87,95,322,58,209,96,139,1775,733,977,287,5,218,9769,535,354,145,221,1294,57,41,679,84,252,429,29,2,37,24,27,3,254,239,49,46,222,111,72,330,152,191,239,66,357,351,106,100,540,778,378,133,358,22,144,14,175,382,130,1277,1046,346,390,332,329,206,79,243,219,123,105,114,51,16
Лазы,Líný,1,2,NA,20,NA,NA,NA,NA,NA,3,NA,NA,3,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,1,1,NA,NA,NA,8,NA,NA,61,NA,NA,32,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,4,1,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
Лакцы,Laks,76,33,73,107,159,143,28,38,123,1052,53,134,52,36,153,119,48,2185,21,61,61,9,18,122,87,79,62,40,394,142,75,821,551,223,652,161276,30,1462,288,518,308,2644,51,22,9,102,22,23,73,46,98,64,33,136,293,57,7,168,1761,1268,397,54,6,10,10,14,37,26,358,23,42,61,34,35,99,82,72,55,32,19,34,7,8
Латгальцы,Latgalci,1,NA,1,1,1,NA,NA,NA,1,1,1,NA,NA,NA,NA,1,1,5,NA,2,NA,NA,1,8,4,NA,1,3,14,NA,NA,9,NA,1,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,2,NA,NA,NA,NA,NA,1,1,6,4,NA,NA,3,12,4,2,NA,NA,1,3,33,7,5,577,4,65,171,20,89,6,1,9,2,2,1,3,NA,NA
Латыши,Lotyši,91,69,87,102,71,89,30,53,64,722,41,70,177,35,162,92,69,1986,179,259,76,1,73,516,387,183,175,442,1291,38,22,495,57,132,277,7,NA,46,23,31,1,187,1117,25,31,135,65,51,136,83,111,122,40,311,159,139,51,306,465,219,99,260,9,48,45,229,168,47,2189,217,360,514,1444,453,91,53,206,154,97,61,57,12,11
Лезгины,Lezghins,438,149,518,591,402,721,360,330,471,3689,430,796,326,285,1077,882,659,5719,151,1406,394,116,437,456,900,951,270,188,2814,391,451,4106,4246,2145,3902,385240,26,767,400,814,1261,7900,374,91,53,862,182,50,463,195,746,558,275,1190,5245,352,191,1272,16247,13335,1879,481,19,194,17,114,212,206,2800,447,298,456,307,320,364,186,608,320,228,98,182,35,25
Финны,Finové,28,6,30,16,14,20,19,12,17,146,8,21,16,8,134,16,55,388,8577,112,69,NA,167,63,4366,273,194,212,2559,15,4,113,21,52,65,2,NA,6,6,6,3,40,53,7,13,39,32,18,106,21,42,25,23,72,52,17,14,119,302,137,78,128,2,16,NA,81,42,9,303,116,166,120,202,31,126,10,25,23,4,15,10,3,1
Финны-ингерманландцы,Ingrijští Finové,1,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,3,1,NA,19,152,NA,NA,NA,1,NA,49,7,2,4,178,NA,NA,NA,3,1,3,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,1,NA,NA,2,NA,NA,NA,1,NA,NA,1,1,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Французы,Francouzština,7,NA,5,9,6,9,1,2,7,91,2,5,1,3,5,10,10,775,2,3,NA,NA,1,5,3,5,2,2,144,1,3,34,1,12,21,2,NA,4,1,5,NA,21,15,NA,2,11,5,9,10,3,14,NA,2,20,16,2,7,11,7,3,NA,7,NA,NA,NA,3,5,2,9,9,6,37,9,8,2,1,3,8,1,1,10,NA,NA
Черкесы,V Circassians,11,8,26,34,8,7,NA,10,5,301,5,25,6,19,15,19,10,1101,8,39,19,NA,6,12,30,27,2,5,203,2651,61,5258,71,83,231,42,19,2475,56466,64,17,2326,14,5,6,18,3,1,21,15,39,29,11,33,56,7,2,27,750,426,309,45,NA,8,2,7,16,12,70,20,25,11,16,15,54,33,30,10,8,6,26,8,NA
Чехи,Češi,19,11,10,20,9,40,4,6,9,59,5,5,10,NA,6,8,11,196,6,28,4,NA,3,15,39,16,12,9,74,73,NA,416,2,19,40,1,NA,6,6,4,NA,17,14,7,2,13,5,6,19,4,5,68,9,55,29,6,4,18,59,38,9,23,1,2,NA,1,19,6,18,26,21,25,144,14,4,5,14,19,5,6,4,NA,NA
Чеченцы,Čečenci,217,203,295,1309,546,378,275,181,425,2286,1075,453,283,376,1867,286,755,14524,294,311,238,5,206,655,394,107,727,300,1482,610,3343,2313,7229,9649,11449,93658,18765,1965,674,2264,1206551,11980,992,221,74,420,344,127,611,343,203,1059,390,970,5738,336,569,736,10502,6889,2434,766,30,88,23,63,532,177,685,475,1123,303,666,547,377,72,407,172,102,33,144,32,10
Чуваши,Chuvashs,536,251,1758,1333,1240,834,748,263,317,12466,268,890,581,303,2454,840,762,14313,867,5077,1357,75,676,1384,2065,1782,494,444,4610,260,125,3014,908,5851,2171,110,19,149,64,146,165,1081,107450,6025,812,116252,2180,814750,4715,1399,9765,12492,5614,84105,12261,94970,1364,8304,25690,13596,3471,6819,83,744,98,1824,2322,792,11036,4589,9301,2676,3065,3997,1123,807,1960,1388,783,182,822,171,166
Чукчи,Chukchi,8,3,2,17,1,2,1,5,1,25,1,1,1,NA,3,5,2,108,3,2,1,NA,NA,1,4,3,6,NA,58,NA,3,20,1,2,12,NA,NA,2,NA,NA,2,6,7,NA,1,5,10,6,5,3,7,4,2,4,3,1,11,7,3,1,2,2,NA,5,NA,1,10,2,9,31,4,10,44,3,670,1496,41,91,30,285,9,2,12772
Юкагиры,Yukagirs,2,NA,NA,NA,NA,NA,NA,NA,2,2,NA,4,NA,1,1,NA,NA,4,1,5,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,1,2,NA,NA,NA,NA,NA,1,2,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,2,NA,1281,1,3,4,1,71,NA,NA,198
Евреи,Židé,373,1407,460,910,361,558,177,461,296,7164,366,361,977,283,584,838,688,53145,474,314,307,2,288,1123,1206,457,310,369,24132,148,15,2247,650,1279,3231,1739,6,835,79,371,8,2320,1900,181,137,2624,717,317,1860,319,3769,1348,593,4418,2250,535,223,5423,1244,536,239,3358,15,336,20,91,721,199,1147,1594,951,2195,1652,721,227,112,649,1433,147,153,248,1628,29
Езиды,Yezidis,329,105,223,423,348,128,216,901,1128,898,396,265,46,1802,533,1075,3287,1624,18,27,28,NA,31,788,95,26,27,44,196,64,51,5023,110,1478,1771,1,1,8,1,14,3,3348,797,4,56,103,86,31,30,43,3781,175,237,849,1352,335,67,1317,303,162,28,366,1,10,NA,1,27,8,206,403,133,2507,134,110,46,97,80,6,5,NA,NA,NA,NA
Адыгейцы,Adygeys,12,14,28,27,8,18,3,12,6,227,18,17,15,8,29,17,16,569,9,40,9,1,3,27,36,19,2,15,183,107048,11,13834,24,100,374,41,14,524,187,95,41,255,14,12,8,23,2,3,21,5,39,19,8,28,33,4,3,28,252,173,64,33,NA,4,NA,2,4,5,83,24,25,26,4,12,32,19,33,26,23,26,9,3,5
Аварцы,Avaři,309,137,441,506,528,286,257,185,336,2190,388,516,280,240,492,567,180,5049,72,292,136,4,161,217,573,286,231,149,1971,213,2396,1848,4719,2290,4595,850011,101,425,216,722,4864,9009,247,124,52,274,122,85,305,228,627,254,259,437,1581,234,68,641,3783,2577,908,382,43,150,8,93,294,214,512,247,290,280,188,315,299,120,386,226,165,15,110,38,10
